timestamp,building,floor_area,zone_name,category,meter_id,area_m2,energy_kwh,avg_power_kw,occupancy_level,outside_temp_c,is_weekend,working_hours,time_period,notes
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,4.78,4.78,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 2,IT / Computer Lab Equipment,IT / Computer Lab Equipment,MTR-F2-ITLAB,700,3.4,3.4,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 2,HVAC,HVAC,MTR-F2-HVAC,2300,8.94,8.94,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 2,Work Area Lighting,Work Area Lighting,MTR-F2-WAL,1300,0.74,0.74,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 2,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F2-CLL,500,3.17,3.17,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 2,Plug Load,Plug Load,MTR-F2-PLG,1100,2.26,2.26,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 3,Smart Lab / Studio Equipment,Smart Lab / Studio Equipment,MTR-F3-SMART,500,2.93,2.93,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 3,HVAC,HVAC,MTR-F3-HVAC,2100,8.29,8.29,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 3,Work Area Lighting,Work Area Lighting,MTR-F3-WAL,1200,0.66,0.66,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 3,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F3-CLL,500,2.88,2.88,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 3,Plug Load,Plug Load,MTR-F3-PLG,900,1.57,1.57,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,Server Room,Server Room,MTR-F4-SERVER,280,21.7,21.7,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,IT Infrastructure,IT Infrastructure,MTR-F4-ITINF,160,6.23,6.23,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,HVAC,HVAC,MTR-F4-HVAC,1800,6.96,6.96,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,Work Area Lighting,Work Area Lighting,MTR-F4-WAL,900,0.48,0.48,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F4-CLL,400,2.31,2.31,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 4,Plug Load,Plug Load,MTR-F4-PLG,700,0.93,0.93,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Common Building Services,Elevator,Elevator,MTR-COM-ELEV,150,0.49,0.49,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Common Building Services,Fire and Safety,Fire and Safety,MTR-COM-FIRE,9000,0.79,0.79,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Common Building Services,Outdoor Lighting,Outdoor Lighting,MTR-COM-OUT,1000,3.78,3.78,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Common Building Services,ELV / Network System,ELV / Network System,MTR-COM-ELV,9000,3.7,3.7,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,5.43,5.43,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,10.09,10.09,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.91,0.91,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 1,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F1-CLL,600,3.34,3.34,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 1,Plug Load,Plug Load,MTR-F1-PLG,1200,1.98,1.98,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 2,IT / Computer Lab Equipment,IT / Computer Lab Equipment,MTR-F2-ITLAB,700,3.22,3.22,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 2,HVAC,HVAC,MTR-F2-HVAC,2300,8.26,8.26,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 2,Work Area Lighting,Work Area Lighting,MTR-F2-WAL,1300,0.8,0.8,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 2,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F2-CLL,500,3.21,3.21,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 2,Plug Load,Plug Load,MTR-F2-PLG,1100,2.18,2.18,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 3,Smart Lab / Studio Equipment,Smart Lab / Studio Equipment,MTR-F3-SMART,500,2.95,2.95,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 3,HVAC,HVAC,MTR-F3-HVAC,2100,8.29,8.29,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 3,Work Area Lighting,Work Area Lighting,MTR-F3-WAL,1200,0.68,0.68,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 3,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F3-CLL,500,2.69,2.69,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 3,Plug Load,Plug Load,MTR-F3-PLG,900,1.57,1.57,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,Server Room,Server Room,MTR-F4-SERVER,280,21.8,21.8,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,IT Infrastructure,IT Infrastructure,MTR-F4-ITINF,160,6.23,6.23,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,HVAC,HVAC,MTR-F4-HVAC,1800,7.12,7.12,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,Work Area Lighting,Work Area Lighting,MTR-F4-WAL,900,0.53,0.53,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F4-CLL,400,2.58,2.58,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Floor 4,Plug Load,Plug Load,MTR-F4-PLG,700,0.94,0.94,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Common Building Services,Elevator,Elevator,MTR-COM-ELEV,150,0.49,0.49,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Common Building Services,Fire and Safety,Fire and Safety,MTR-COM-FIRE,9000,0.8,0.8,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Common Building Services,Outdoor Lighting,Outdoor Lighting,MTR-COM-OUT,1000,4.07,4.07,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 02:00,Academic and Laboratory Building,Common Building Services,ELV / Network System,ELV / Network System,MTR-COM-ELV,9000,3.74,3.74,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,4.94,4.94,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,9.99,9.99,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.87,0.87,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 1,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F1-CLL,600,3.54,3.54,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 1,Plug Load,Plug Load,MTR-F1-PLG,1200,2.03,2.03,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 2,IT / Computer Lab Equipment,IT / Computer Lab Equipment,MTR-F2-ITLAB,700,3.33,3.33,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 2,HVAC,HVAC,MTR-F2-HVAC,2300,8.09,8.09,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 2,Work Area Lighting,Work Area Lighting,MTR-F2-WAL,1300,0.8,0.8,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 2,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F2-CLL,500,3.15,3.15,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 2,Plug Load,Plug Load,MTR-F2-PLG,1100,2.04,2.04,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 3,Smart Lab / Studio Equipment,Smart Lab / Studio Equipment,MTR-F3-SMART,500,2.7,2.7,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 3,HVAC,HVAC,MTR-F3-HVAC,2100,7.49,7.49,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 3,Work Area Lighting,Work Area Lighting,MTR-F3-WAL,1200,0.66,0.66,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 3,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F3-CLL,500,2.91,2.91,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 3,Plug Load,Plug Load,MTR-F3-PLG,900,1.66,1.66,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,Server Room,Server Room,MTR-F4-SERVER,280,21.52,21.52,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,IT Infrastructure,IT Infrastructure,MTR-F4-ITINF,160,6.26,6.26,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,HVAC,HVAC,MTR-F4-HVAC,1800,7.94,7.94,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,Work Area Lighting,Work Area Lighting,MTR-F4-WAL,900,0.5,0.5,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F4-CLL,400,2.61,2.61,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Floor 4,Plug Load,Plug Load,MTR-F4-PLG,700,1.01,1.01,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Common Building Services,Elevator,Elevator,MTR-COM-ELEV,150,0.45,0.45,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Common Building Services,Fire and Safety,Fire and Safety,MTR-COM-FIRE,9000,0.81,0.81,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Common Building Services,Outdoor Lighting,Outdoor Lighting,MTR-COM-OUT,1000,3.95,3.95,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 03:00,Academic and Laboratory Building,Common Building Services,ELV / Network System,ELV / Network System,MTR-COM-ELV,9000,3.76,3.76,Very Low,7.9,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,5.22,5.22,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,9.35,9.35,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.89,0.89,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 1,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F1-CLL,600,3.48,3.48,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 1,Plug Load,Plug Load,MTR-F1-PLG,1200,2.04,2.04,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 2,IT / Computer Lab Equipment,IT / Computer Lab Equipment,MTR-F2-ITLAB,700,3.56,3.56,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 2,HVAC,HVAC,MTR-F2-HVAC,2300,8.13,8.13,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 2,Work Area Lighting,Work Area Lighting,MTR-F2-WAL,1300,0.75,0.75,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 2,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F2-CLL,500,3.01,3.01,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 2,Plug Load,Plug Load,MTR-F2-PLG,1100,2.28,2.28,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 3,Smart Lab / Studio Equipment,Smart Lab / Studio Equipment,MTR-F3-SMART,500,3.03,3.03,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 3,HVAC,HVAC,MTR-F3-HVAC,2100,7.69,7.69,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 3,Work Area Lighting,Work Area Lighting,MTR-F3-WAL,1200,0.66,0.66,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 3,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F3-CLL,500,2.84,2.84,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 3,Plug Load,Plug Load,MTR-F3-PLG,900,1.6,1.6,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,Server Room,Server Room,MTR-F4-SERVER,280,22.29,22.29,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,IT Infrastructure,IT Infrastructure,MTR-F4-ITINF,160,6.31,6.31,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,HVAC,HVAC,MTR-F4-HVAC,1800,7.71,7.71,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,Work Area Lighting,Work Area Lighting,MTR-F4-WAL,900,0.5,0.5,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F4-CLL,400,2.28,2.28,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Floor 4,Plug Load,Plug Load,MTR-F4-PLG,700,0.94,0.94,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Common Building Services,Elevator,Elevator,MTR-COM-ELEV,150,0.45,0.45,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Common Building Services,Fire and Safety,Fire and Safety,MTR-COM-FIRE,9000,0.82,0.82,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Common Building Services,Outdoor Lighting,Outdoor Lighting,MTR-COM-OUT,1000,1.47,1.47,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 04:00,Academic and Laboratory Building,Common Building Services,ELV / Network System,ELV / Network System,MTR-COM-ELV,9000,3.81,3.81,Very Low,8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 05:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,4.8,4.8,Very Low,8.6,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 05:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,10.32,10.32,Very Low,8.6,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 05:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.96,0.96,Very Low,8.6,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
